Date.Local,nyc.ozone.Mean,nyc.ozone.Max.Value,nyc.ozone.Max.Hour,nyc.ozone.AQI,nyc.nitrogen.Mean,nyc.nitrogen.Max.Value,nyc.nitrogen.Max.Hour,nyc.nitrogen.AQI,nyc.pm.Max.Value,nyc.pm.Max.Hour,nyc.pm.Mean,nyc.pm.AQI,nyc.temp.Mean,nyc.temp.Max.Value,nyc.temp.Max.Hour,nyc.rh.Mean,nyc.rh.Max.Value,nyc.rh.Max.Hour
7/13/07,0.038706,0.047,10,44,22.6,27,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/14/07,0.047471,0.067,11,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/15/07,0.038438,0.065,9,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/16/07,0.021118,0.038,10,35,18,18,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/17/07,0.056471,0.079,10,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/07,0.028706,0.044,9,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/19/07,0.035471,0.052,10,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/20/07,0.027353,0.037,8,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/21/07,0.018941,0.026,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/22/07,0.026529,0.034,11,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/23/07,0.009824,0.019,9,18,14.642857,23,17,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/24/07,0.034588,0.05,12,46,19.25,24,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/25/07,0.022176,0.036,9,33,22.041667,40,3,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/26/07,0.012882,0.025,11,23,26.583333,40,10,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/27/07,0.017706,0.026,8,24,18.166667,37,11,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/28/07,0.037588,0.061,11,71,18.166667,34,23,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/29/07,0.016313,0.038,7,35,24.166667,48,21,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/30/07,0.044294,0.069,11,97,26.95,59,19,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/31/07,0.021471,0.045,10,42,24.833333,69,23,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
